absorbance_3.8_1A,3.8_1A,3.8_2A,3.8_3A
784.4039,0.02264346,0.05032745,0.04938684
784.886,0.02352498,0.05020745,0.04871312
785.3682,0.02436417,0.05010189,0.04774398
785.8503,0.02505307,0.04998678,0.04657179
786.3324,0.02551252,0.04984716,0.04532223
786.8145,0.0257085,0.04968081,0.04414213
787.2966,0.02565964,0.0494932,0.0431625
787.7787,0.0254229,0.04928749,0.04248343
788.2609,0.02507307,0.0490531,0.04216113
788.743,0.02466908,0.04876329,0.04219558
789.2251,0.02424278,0.0483814,0.04253632
789.7072,0.02379965,0.04787736,0.04308974
790.1893,0.02333441,0.04724837,0.04374571
790.6714,0.0228548,0.04653155,0.04438761
791.1536,0.02239602,0.04580482,0.04490928
791.6357,0.02201234,0.04516299,0.04523708
792.1178,0.02175896,0.04469882,0.04533151
792.5999,0.02165875,0.0444724,0.04519652
793.082,0.0216817,0.04449366,0.04487494
793.5641,0.02174292,0.04472468,0.04444685
794.0463,0.02172844,0.04509516,0.04401593
794.5284,0.02154617,0.04553178,0.04368407
795.0105,0.02115739,0.04597136,0.04354196
795.4926,0.02060661,0.04637574,0.04364163
795.9747,0.02000311,0.04673146,0.04398192
796.4568,0.01949556,0.04703983,0.04450383
796.939,0.01921192,0.04731091,0.04510198
797.4211,0.0192164,0.04755916,0.04565553
797.9032,0.01949939,0.047808,0.04604862
798.3853,0.01998697,0.04808957,0.04620989
798.8674,0.02058015,0.04843836,0.0461286
799.3495,0.02118295,0.04887911,0.04585608
799.8317,0.02173582,0.04940381,0.04548841
800.3138,0.02221967,0.04995837,0.0451332
800.7959,0.02264244,0.05043778,0.04488618
801.278,0.02302042,0.05071643,0.04479662
801.7601,0.02336054,0.05068619,0.04486232
802.2422,0.02365492,0.05029644,0.04503509
802.7244,0.02388616,0.04958834,0.0452455
803.2065,0.02403726,0.04869205,0.04542759
803.6886,0.0240996,0.04780297,0.04554
804.1707,0.0240753,0.04710785,0.04557975
804.6528,0.02397263,0.04673687,0.04557758
805.1349,0.02380102,0.04672249,0.04558431
805.6171,0.02356926,0.04699847,0.04564546
806.0992,0.02329245,0.04743238,0.04578825
806.5813,0.02300197,0.04787881,0.04601111
807.0634,0.0227465,0.04824142,0.04628791
807.5455,0.02259333,0.04849275,0.04657814
808.0276,0.02261107,0.0486753,0.04684344
808.5098,0.02284398,0.04886328,0.04706369
808.9919,0.02329788,0.0491234,0.04723959
809.474,0.02392776,0.04947454,0.04739058
809.9561,0.02465181,0.04987917,0.04754038
810.4382,0.02536201,0.05025497,0.0477061
810.9203,0.02595485,0.05051028,0.04788699
811.4025,0.02635913,0.05058489,0.0480634
811.8846,0.0265405,0.05046588,0.04820197
812.3667,0.02650903,0.05019443,0.04826893
812.8488,0.0263062,0.04984245,0.04824392
813.3309,0.0259957,0.04949315,0.04812373
813.813,0.02564643,0.04921142,0.0479231
814.2952,0.02531924,0.04903281,0.04766474
814.7773,0.02506451,0.04896772,0.04737075
815.2594,0.02490925,0.04900914,0.04705448
815.7415,0.02485472,0.04914332,0.04671974
816.2236,0.02487568,0.04935455,0.04636987
816.7057,0.02492995,0.04962349,0.04601692
