absorbance_6.1_1A,6.1_1A,absorbance_6.1_2A,6.1_2A,6.1_3A,6.1_4A
690.0,0.0592,690.3912,0.06765224,0.06276356,0.07130856
690.0,0.0605,690.8733,0.06874733,0.06224766,0.07188529
691.0,0.0617,691.3554,0.06986636,0.0616314,0.07236575
691.0,0.0628,691.8375,0.0708653,0.0609888,0.07289126
692.0,0.0636,692.3196,0.0716638,0.06039225,0.07355592
692.0,0.0641,692.8018,0.07226475,0.05993355,0.07436945
693.0,0.0643,693.2839,0.07275117,0.05971079,0.07524098
693.0,0.064,693.766,0.07324608,0.05980699,0.07601033
694.0,0.0634,694.2481,0.07386705,0.06025838,0.07649241
694.0,0.0625,694.7302,0.07466969,0.06102539,0.07655887
695.0,0.0616,695.2123,0.07562989,0.06199313,0.07618225
695.0,0.0608,695.6945,0.07664954,0.06298877,0.07545887
696.0,0.0605,696.1766,0.07760379,0.06384383,0.07457639
696.0,0.0606,696.6587,0.07838702,0.06443247,0.07376487
697.0,0.0612,697.1408,0.07895436,0.06470492,0.07322814
697.0,0.0621,697.6229,0.07933481,0.06469464,0.07307305
698.0,0.0631,698.105,0.07960593,0.06449927,0.07329598
698.0,0.0639,698.5872,0.07984962,0.06424938,0.07379118
699.0,0.0645,699.0693,0.08010171,0.06406337,0.07440493
699.0,0.0647,699.5514,0.08033275,0.06403421,0.07497923
700.0,0.0646,700.0335,0.08045611,0.06420886,0.07540476
700.0,0.0642,700.5156,0.08037558,0.06458355,0.07565057
701.0,0.0638,700.9977,0.08002445,0.06510916,0.07575571
701.0,0.0634,701.4799,0.07940722,0.06569895,0.07580896
701.0,0.0631,701.962,0.07859915,0.06625403,0.07590486
702.0,0.0631,702.4441,0.07773082,0.06667849,0.07612292
702.0,0.0634,702.9262,0.07694122,0.06691526,0.07650004
703.0,0.0641,703.4083,0.07633034,0.06696951,0.07702737
703.0,0.0652,703.8904,0.0759489,0.06691658,0.07766201
704.0,0.0667,704.3726,0.07579672,0.06688057,0.07834928
704.0,0.0685,704.8547,0.07585462,0.06698224,0.07905049
705.0,0.0706,705.3368,0.07611603,0.0673015,0.07975601
705.0,0.0727,705.8189,0.07660549,0.06783339,0.08048946
706.0,0.0744,706.301,0.07736549,0.06849598,0.08129174
706.0,0.0755,706.7831,0.07842825,0.06915905,0.08220133
707.0,0.0759,707.2653,0.07977438,0.06971024,0.08322696
707.0,0.0756,707.7474,0.08131953,0.07010591,0.08433781
708.0,0.0749,708.2295,0.08291635,0.07039152,0.0854634
708.0,0.074,708.7116,0.08440755,0.07068294,0.08651756
709.0,0.0733,709.1937,0.08567558,0.07111404,0.08742721
709.0,0.0731,709.6758,0.08667782,0.07178763,0.08815399
710.0,0.0734,710.158,0.0874633,0.07272719,0.08871137
710.0,0.0743,710.6401,0.0881472,0.07387953,0.08915684
711.0,0.0756,711.1222,0.08886891,0.07514454,0.08957446
711.0,0.0772,711.6043,0.08972772,0.07643512,0.09003949
712.0,0.0788,712.0864,0.09075675,0.07771546,0.09059997
712.0,0.0804,712.5685,0.09191736,0.07901853,0.09126821
713.0,0.0821,713.0507,0.09313351,0.08041809,0.09203057
713.0,0.0837,713.5328,0.09433446,0.08198459,0.0928704
714.0,0.0854,714.0149,0.09549736,0.0837367,0.09378988
714.0,0.0871,714.497,0.09666376,0.08562203,0.09481706
714.0,0.0889,714.9791,0.09792764,0.08752735,0.09599513
715.0,0.0906,715.4612,0.09939803,0.08931926,0.09735236
715.0,0.0922,715.9434,0.1011442,0.09089958,0.09887324
716.0,0.0936,716.4255,0.1031676,0.09222132,0.1004808
716.0,0.0949,716.9076,0.1053835,0.09329274,0.1020481
717.0,0.0962,717.3897,0.1076464,0.09414942,0.1034439
717.0,0.0973,717.8718,0.1097649,0.0948282,0.1045694
718.0,0.0985,718.3539,0.1115522,0.09535192,0.1054109
718.0,0.0997,718.8361,0.1128739,0.09573646,0.1060519
719.0,0.101,719.3182,0.1136654,0.0960177,0.1066586
719.0,0.102,719.8003,0.1139561,0.09626988,0.1074098
720.0,0.103,720.2824,0.1138492,0.09659478,0.108412
720.0,0.104,720.7645,0.1135033,0.0970947,0.1096397
721.0,0.105,721.2466,0.1130799,0.09780703,0.1109153
721.0,0.105,721.7288,0.1126992,0.09866495,0.1119701
722.0,0.105,722.2109,0.1124254,0.09948193,0.1125129
722.0,0.104,722.693,0.112249,0.1000068,0.1123492
723.0,0.103,723.1751,0.1121011,0.100009,0.1114383
723.0,0.102,723.6572,0.111869,0.09934638,0.1099021
724.0,0.101,724.1393,0.1114333,0.09803364,0.1079741
724.0,0.0989,724.6215,0.1106964,0.09623346,0.1059198
725.0,0.0972,725.1036,0.1096014,0.09422306,0.1039735
725.0,0.0957,725.5857,0.1081546,0.09229395,0.1022637
726.0,0.0942,726.0678,0.1064228,0.09068326,0.1008092
726.0,0.0928,726.5499,0.1045297,0.08952066,0.09953966
727.0,0.0913,727.032,0.1026216,0.08879563,0.09834645
727.0,0.0897,727.5142,0.1008471,0.08838047,0.0971259
728.0,0.0879,727.9963,0.09933139,0.0880666,0.09581295
728.0,0.0859,728.4784,0.09814154,0.08763898,0.09439492
728.0,0.084,728.9605,0.09728013,0.08691201,0.09289907
729.0,0.0823,729.4426,0.09667492,0.08577378,0.09137449
729.0,0.0807,729.9247,0.0961992,0.08421284,0.08986776
730.0,0.0796,730.4069,0.09568378,0.08231722,0.08841293
730.0,0.0788,730.889,0.09495878,0.08025945,0.08702487
731.0,0.0783,731.3711,0.09390605,0.07823935,0.08570069
731.0,0.078,731.8532,0.09248106,0.07645182,0.08442581
732.0,0.0778,732.3353,0.09073634,0.07502474,0.08317898
732.0,0.0777,732.8174,0.08880123,0.07398276,0.08194044
733.0,0.0774,733.2996,0.08686016,0.07324538,0.08069387
733.0,0.077,733.7817,0.08509445,0.07265161,0.07943365
