absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5,2.8_1A,2.8_2A,2.8_3A,2.8_4A,3.10_1A,3.10_2A,3.10_3A,3.10_4A,3.10_5A,3.1_1,3.1_2,3.1_3,3.1_4,4.3_1A,4.3_2A,4.3_3A,4.3_4A,4.3_5A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
555.8806,0.02121896,0.001167454,0.04257917,0.05914449,0.03217392,0.03690716,0.03311031,0.04429127,0.05398983,0.04138906,0.03741148,0.02474744,0.02413714,0.04322071,0.02819566,0.01724327,0.03397115,0.05501289,0.07916193,0.06805048,0.003032587,0.07704489,0.05348149,0.02988592,0.07781279,0.02077492,0.04954493,0.07789269
556.3627,0.02207315,0.004578166,0.04266898,0.06487551,0.0335566,0.03295941,0.03330584,0.04355836,0.05464692,0.04357647,0.04021679,0.02650712,0.02477024,0.0424744,0.02658755,0.02071897,0.03620437,0.05533554,0.07912759,0.06436591,0.002994839,0.07756014,0.05403496,0.039445,0.08597189,0.01945912,0.04573753,0.0768344
556.8448,0.02577591,0.00970801,0.04432052,0.0688255,0.03361218,0.02782754,0.03341101,0.0413513,0.05565124,0.04636964,0.04246747,0.02795916,0.02555288,0.03947164,0.0262376,0.02352485,0.03867616,0.05585754,0.07867947,0.06304995,0.004229214,0.07796652,0.05268562,0.04786874,0.09283546,0.01899992,0.04101817,0.07615524
557.327,0.03119095,0.01574225,0.0467793,0.06995907,0.03182273,0.02129256,0.03378467,0.03806425,0.05779621,0.05003353,0.04391043,0.02973669,0.0268347,0.0352212,0.02821222,0.02567794,0.04084682,0.05659556,0.07901914,0.06443956,0.007670745,0.07807036,0.05010145,0.0545895,0.09824619,0.0199856,0.03579433,0.07583871
557.8091,0.03680922,0.02144539,0.04919182,0.06792362,0.02827512,0.01366566,0.03481838,0.03432881,0.0613507,0.05440794,0.04433905,0.03231487,0.02869519,0.030844,0.03277679,0.02747072,0.04210076,0.05730417,0.08062521,0.0681418,0.01369855,0.07756395,0.04687859,0.05956329,0.1022494,0.02251044,0.03058144,0.07549623
558.2912,0.04116731,0.02567986,0.05094384,0.06309801,0.02356933,0.00576476,0.03677403,0.03088228,0.06596886,0.05901198,0.04360038,0.03588129,0.03081448,0.02723281,0.03934409,0.02934005,0.04202607,0.05749895,0.08315602,0.07312716,0.02203676,0.07621612,0.04351298,0.06314614,0.1049343,0.02619353,0.02588115,0.07458381
558.7733,0.0419772,0.02986776,0.04911448,0.06391495,0.01959152,0.001002368,0.03963853,0.02831654,0.06790321,0.06348717,0.0416557,0.03694908,0.03302068,0.02125785,0.04327005,0.02837319,0.04065589,0.0586349,0.08282291,0.07975126,0.03067409,0.0746261,0.04039637,0.06589393,0.1062828,0.02933255,0.02199529,0.07059258
559.2554,0.04242658,0.03077096,0.04619365,0.05603483,0.01915687,0.001708511,0.04306923,0.02698288,0.07016338,0.06554379,0.03863718,0.03985471,0.03275921,0.01968735,0.04947865,0.02809393,0.03850762,0.05721707,0.08338279,0.0835302,0.03650218,0.07077499,0.03790736,0.06778288,0.1061152,0.02865691,0.01897539,0.07001552
559.7375,0.04008101,0.03015288,0.04561929,0.04895454,0.01672057,0.0,0.04640133,0.02691854,0.07289965,0.06876241,0.03491673,0.04423765,0.03168895,0.01869859,0.05516011,0.03159872,0.03648493,0.0540841,0.08402798,0.08679542,0.0454451,0.06823313,0.03640413,0.06943946,0.1041605,0.03098102,0.01663193,0.06623476
560.2197,0.03629385,0.02977637,0.04465069,0.04376699,0.01615355,0.001362752,0.04885996,0.02790048,0.07403034,0.07226165,0.03105231,0.04798996,0.02890015,0.01785955,0.05896832,0.03578219,0.03553912,0.05063929,0.0835018,0.08950347,0.0528307,0.06672148,0.03612639,0.07071792,0.1002509,0.03190501,0.01468372,0.06214806
