absorbance_2.9_1A,2.9_1A,2.9_2A,2.9_3A,2.9_4A
746.7988,0.04317964,0.03255002,0.06753028,0.08507211
747.2809,0.04322688,0.03262147,0.06736189,0.08481533
747.7631,0.04327594,0.03291573,0.06722042,0.08469383
748.2452,0.04329909,0.03323999,0.06704434,0.08465926
748.7273,0.04326811,0.03333697,0.06676342,0.08464557
749.2094,0.04316016,0.03297739,0.06632962,0.08459448
749.6915,0.04297015,0.03204866,0.06573819,0.08447385
750.1736,0.04272226,0.03059338,0.06503314,0.08427978
750.6558,0.04247704,0.02881899,0.06429379,0.08403549
751.1379,0.04231443,0.02702432,0.06360307,0.08377801
751.62,0.04231897,0.02554433,0.06302825,0.08355047
752.1021,0.04253918,0.02463667,0.06259648,0.08338898
752.5842,0.04296146,0.02442062,0.06229728,0.0833147
753.0663,0.04349624,0.02486788,0.06209895,0.08333158
753.5485,0.04399532,0.02581816,0.06197416,0.08342312
754.0306,0.04429451,0.02704593,0.06191868,0.08355615
754.5127,0.04425038,0.02830508,0.06195792,0.0836843
754.9948,0.04380035,0.02940355,0.06213095,0.08376163
755.4769,0.04297826,0.03022395,0.06246292,0.08375423
