absorbance_5.10_3A,5.10_3A,5.10_4A,5.9_1A_16,5.9_2A,5.9_2AA,5.9_3A,5.9_4A
626.7518,0.08256087,0.04233782,0.02338396,0.04338732,0.01991327,0.05765312,0.01644446
627.2339,0.08397548,0.04393105,0.02194912,0.04554131,0.01952005,0.05934955,0.01851447
627.716,0.08522063,0.04469509,0.02121924,0.04846147,0.01893038,0.060248,0.02026312
628.1981,0.08622129,0.04456693,0.02131058,0.05165351,0.01807459,0.06039047,0.02149203
628.6802,0.08700967,0.04357663,0.02215278,0.05461253,0.01699088,0.0599269,0.02215932
629.1624,0.08764631,0.04182635,0.02353901,0.05695883,0.01581586,0.05904771,0.02235256
629.6445,0.0881485,0.03949915,0.02516329,0.05849368,0.01476648,0.05795975,0.02223668
630.1266,0.08845189,0.03684705,0.02670558,0.05926142,0.01406093,0.05684251,0.02196709
630.6087,0.08843186,0.03416993,0.02789886,0.05948757,0.01384584,0.05583528,0.0216274
631.0908,0.08795771,0.0318106,0.02855922,0.05949255,0.01415285,0.05504449,0.021214
631.5729,0.08698481,0.03007063,0.02863147,0.05953913,0.01487576,0.05452818,0.02066154
632.0551,0.08560514,0.029162,0.0281724,0.05974337,0.01580921,0.05429944,0.01990822
632.5372,0.08406708,0.02916974,0.02732726,0.06003984,0.01670272,0.05432919,0.01896123
633.0193,0.08269376,0.03002009,0.02627177,0.06022926,0.01736306,0.05455462,0.01792892
633.5014,0.08178819,0.03149732,0.02517024,0.06007991,0.01770883,0.05489901,0.01699977
633.9835,0.08152789,0.03327606,0.02415142,0.05943427,0.01779921,0.05529331,0.01638131
634.4656,0.08188722,0.03502081,0.02328974,0.0582941,0.0178057,0.055705,0.01618971
634.9478,0.08265439,0.0364398,0.02263079,0.05681874,0.01795039,0.05614633,0.01638988
635.4299,0.083508,0.03734147,0.02222519,0.05526943,0.01842932,0.056668,0.01677512
635.912,0.08416441,0.03766782,0.02214424,0.05388622,0.01933643,0.05732745,0.01705185
636.3941,0.08445638,0.03747038,0.02247838,0.05282681,0.02065618,0.05815964,0.01693012
636.8762,0.08438169,0.03687814,0.0232967,0.05213406,0.02228288,0.05914473,0.01624782
637.3583,0.08406724,0.03604615,0.02458676,0.05176891,0.02408163,0.06020394,0.01504322
637.8405,0.08369679,0.03513996,0.02620277,0.05167813,0.02592142,0.06120515,0.01354352
638.3226,0.08342522,0.03431702,0.02784779,0.05184734,0.02769594,0.06199429,0.01209562
638.8047,0.08332046,0.03370639,0.02914904,0.05230735,0.02932299,0.06244395,0.01101855
639.2868,0.08336754,0.03341295,0.02971929,0.05309724,0.03070387,0.06247606,0.01052551
639.7689,0.08349726,0.03349428,0.02930579,0.05419868,0.03171501,0.06209093,0.01064354
640.251,0.08364132,0.03394484,0.02789997,0.05549897,0.0322318,0.06136385,0.01123304
640.7332,0.08375997,0.03469238,0.02576765,0.05678195,0.03216057,0.06043243,0.01205093
641.2153,0.0838504,0.03560813,0.0233974,0.05779859,0.03150681,0.05946288,0.01286091
641.6974,0.08392312,0.03654739,0.02132172,0.05836959,0.0304021,0.05860145,0.01353093
642.1795,0.08396924,0.03736388,0.02001183,0.05844602,0.02910702,0.05795621,0.01405402
642.6616,0.08394266,0.03794736,0.01970335,0.05814649,0.0279384,0.05755809,0.01454193
643.1437,0.08377615,0.03823452,0.02035228,0.057695,0.02715877,0.05735445,0.01514787
643.6259,0.08341028,0.03819796,0.0216645,0.05734551,0.02690913,0.05721325,0.0160041
644.108,0.08284237,0.03784513,0.0232136,0.05725242,0.02713344,0.05696377,0.01714566
644.5901,0.08214419,0.03721173,0.02460683,0.05740563,0.02760749,0.05645954,0.01849588
645.0722,0.08145958,0.0363697,0.02558409,0.05763303,0.02799741,0.05562802,0.01987992
645.5543,0.08095133,0.03542933,0.02612295,0.05768202,0.02800038,0.05452444,0.02109175
646.0364,0.08074684,0.03453416,0.02640837,0.05734028,0.0274529,0.05332362,0.0219599
646.5186,0.08091024,0.03385365,0.02675619,0.0565189,0.0263782,0.05229828,0.02238412
647.0007,0.08143008,0.03352759,0.02746059,0.05530247,0.02497713,0.05172092,0.02237168
647.4828,0.08224811,0.03362017,0.02868091,0.0539069,0.02354365,0.05178229,0.02202376
647.9649,0.08329207,0.03407627,0.03038784,0.05260878,0.02237354,0.05253074,0.02151475
648.447,0.08450877,0.0347181,0.0323774,0.05162435,0.02163878,0.05384374,0.02103053
