absorbance_3.9_0,3.9_0,3.9_1,3.9_2A,3.9_3A,3.9_4,3.9_5
674.9634,0.01800194,0.02927868,0.06128288,0.0518579,0.0224365,0.05187662
675.4456,0.01867425,0.02948213,0.06309079,0.05231363,0.02332666,0.05259241
675.9277,0.01941992,0.03006527,0.06442459,0.05261915,0.02444979,0.0531707
676.4098,0.02014311,0.03093597,0.06524982,0.05275567,0.02565913,0.05357515
676.8919,0.02073875,0.03194697,0.06561415,0.05265967,0.026815,0.05381126
677.374,0.02112116,0.03291147,0.06559324,0.05225565,0.02779712,0.05393206
677.8561,0.02126391,0.03365944,0.0652395,0.05152066,0.02853742,0.05401717
678.3383,0.02120416,0.03407471,0.06457325,0.05052881,0.02902517,0.05414135
678.8204,0.02103388,0.03411502,0.06361403,0.04946888,0.02930533,0.05434828
679.3025,0.02086175,0.03382485,0.0624243,0.04858539,0.02946381,0.05463046
679.7846,0.02078288,0.03331761,0.06114457,0.04810701,0.02960746,0.05493873
680.2667,0.02085564,0.03275279,0.05999856,0.04816911,0.0298429,0.0552031
680.7488,0.02108706,0.03228282,0.05922459,0.04875482,0.03024181,0.05537125
681.231,0.0214449,0.03202788,0.05901965,0.04971054,0.03083041,0.0554261
681.7131,0.02187353,0.03205632,0.05948104,0.05080473,0.03158388,0.05538793
682.1952,0.0223202,0.03237949,0.06058501,0.05183518,0.03243995,0.05529103
682.6773,0.02274154,0.03296891,0.06221526,0.05267856,0.03331121,0.05515926
683.1594,0.02310633,0.0337683,0.06420685,0.05331627,0.03410039,0.05498805
683.6415,0.0233951,0.03470969,0.06640287,0.0538052,0.03472196,0.05475087
684.1237,0.02359581,0.03571326,0.06866169,0.05422592,0.03510518,0.05442249
684.6058,0.02370655,0.03669354,0.0708572,0.05463404,0.03520644,0.05401513
685.0879,0.02374014,0.03757529,0.07287333,0.05503761,0.03501969,0.05359481
685.57,0.02372788,0.03829728,0.07457784,0.05541523,0.03457781,0.05328386
686.0521,0.02371478,0.03882746,0.07583634,0.05575048,0.03395579,0.05322703
686.5342,0.02374515,0.03916831,0.07655038,0.05606151,0.03325833,0.05353402
687.0164,0.02385319,0.03935538,0.07669106,0.05641031,0.03261966,0.05424526
