absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4,6.10_1 (1),6.10_2,6.10_3,6.10_4
641.2153,0.08824842,0.01144891,0.04603963,0.01758077,0.07129183,0.0223658,0.01395362,0.06022266
641.6974,0.08829944,0.01079628,0.04734777,0.01891468,0.07205336,0.02219139,0.0139759,0.06033949
642.1795,0.08822162,0.01085474,0.0488259,0.02074647,0.07329105,0.02188908,0.01398739,0.06024693
642.6616,0.08801309,0.01156111,0.05042297,0.02296855,0.07483833,0.0214182,0.013972,0.06005548
643.1437,0.08766777,0.01272115,0.0520596,0.02539017,0.07651692,0.02079583,0.01388589,0.05989964
643.6259,0.08720227,0.01404705,0.05361862,0.02773879,0.07815202,0.02012943,0.01364362,0.05990861
644.108,0.08667457,0.01526689,0.0549723,0.02972102,0.07960194,0.01960637,0.01314312,0.06016278
644.5901,0.0861799,0.01621426,0.0560188,0.03108803,0.08075593,0.0194341,0.0123147,0.06068185
645.0722,0.08584152,0.01686389,0.05670894,0.03166241,0.08151532,0.01978094,0.01116684,0.06143034
645.5543,0.08577341,0.01732725,0.05706934,0.03139498,0.08180719,0.02069269,0.009813607,0.06233567
646.0364,0.08605459,0.01777227,0.05718219,0.03036258,0.0816019,0.02207138,0.008449685,0.06331152
646.5186,0.08671726,0.01834019,0.057157,0.02875234,0.08093794,0.02368964,0.007309584,0.06426067
647.0007,0.08773473,0.01905417,0.05707591,0.02680809,0.07993982,0.02527583,0.006578529,0.06508616
647.4828,0.08902576,0.01979632,0.05696036,0.02478223,0.07880555,0.02659878,0.006342545,0.06569138
647.9649,0.09045167,0.02032378,0.05676202,0.02291206,0.07777653,0.02752699,0.0065684,0.06597823
648.447,0.09183793,0.02037166,0.05638782,0.02137035,0.077051,0.02806871,0.007126746,0.06587666
648.9291,0.09299034,0.01974491,0.05574479,0.02027235,0.07672205,0.02834188,0.007844833,0.06536786
649.4113,0.0937144,0.01839984,0.05479348,0.01968665,0.07673427,0.0285222,0.008562382,0.06451122
649.8934,0.09386897,0.0164734,0.05358869,0.01964288,0.07690115,0.02876214,0.009191805,0.06344204
