absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4
700.5156,0.1062573,0.03800538,0.07573055,0.04371797
700.9977,0.1057299,0.03808656,0.07730985,0.04532871
701.4799,0.1055128,0.03817429,0.07835308,0.04691626
701.962,0.1056869,0.0382618,0.07871593,0.04820701
702.4441,0.1062682,0.03835189,0.07842951,0.04900057
702.9262,0.1071942,0.03845582,0.07769889,0.0492328
703.4083,0.1083508,0.03858338,0.07681623,0.04897384
703.8904,0.1095941,0.03873472,0.07610046,0.04840726
704.3726,0.1107976,0.0388982,0.07578658,0.04776777
704.8547,0.1118814,0.03905774,0.07597187,0.0472622
705.3368,0.112806,0.03920492,0.07662475,0.04703872
705.8189,0.1135622,0.03935074,0.07761709,0.04714425
706.301,0.1141467,0.03952555,0.07879289,0.04753755
706.7831,0.114548,0.03977435,0.0800049,0.04811921
707.2653,0.1147533,0.04013889,0.08115715,0.04878157
707.7474,0.1147677,0.04064215,0.0822036,0.04945555
708.2295,0.1146416,0.04128312,0.08312722,0.05013154
708.7116,0.1144778,0.0420367,0.08392473,0.05086552
709.1937,0.1144184,0.04286611,0.08459521,0.05175147
709.6758,0.1146219,0.04373259,0.08514642,0.05288687
710.158,0.1152054,0.04461007,0.0856109,0.05432204
710.6401,0.1162143,0.04548673,0.08605856,0.05603574
711.1222,0.1176067,0.04636525,0.08660392,0.05792522
711.6043,0.119272,0.04725634,0.08737603,0.05983982
712.0864,0.1210649,0.04817179,0.0884921,0.06161812
712.5685,0.1228493,0.04911895,0.09002154,0.06313325
713.0507,0.1245438,0.05009715,0.09195811,0.06433696
713.5328,0.1261243,0.05109936,0.09421904,0.06526255
714.0149,0.127616,0.05211718,0.0966599,0.06601657
714.497,0.1290635,0.05314956,0.09912382,0.06673715
714.9791,0.1305051,0.05421283,0.1014629,0.06756857
715.4612,0.1319533,0.05534681,0.1035733,0.06862494
715.9434,0.1333953,0.05660832,0.1054101,0.06996559
716.4255,0.1348036,0.05806284,0.1069686,0.0715998
716.9076,0.1361548,0.05975693,0.1082669,0.07349141
717.3897,0.1374445,0.06169067,0.1093218,0.07558008
717.8718,0.1386902,0.06379348,0.1101394,0.07778341
718.3539,0.1399245,0.06591774,0.1107193,0.08000585
718.8361,0.1411751,0.06787202,0.1110691,0.08214724
719.3182,0.1424535,0.06944229,0.1112225,0.08409701
719.8003,0.143737,0.07046117,0.1112447,0.08575115
720.2824,0.1449699,0.07085219,0.1112167,0.08703019
720.7645,0.1460715,0.07063665,0.1112161,0.08788505
721.2466,0.1469528,0.06991865,0.1112802,0.08830626
721.7288,0.1475376,0.06883226,0.1113892,0.08831644
722.2109,0.1477628,0.06751017,0.1114631,0.08795623
722.693,0.1475997,0.06604233,0.1113855,0.08727048
723.1751,0.1470543,0.06447835,0.1110441,0.08629738
723.6572,0.1461601,0.06285803,0.1103589,0.08507078
724.1393,0.1449651,0.06124056,0.1093214,0.08362278
724.6215,0.1435168,0.05972591,0.1079995,0.08199306
725.1036,0.1418569,0.058459,0.106531,0.08023714
725.5857,0.1400173,0.05758134,0.10508,0.078419
726.0678,0.1380302,0.05718312,0.1037981,0.0766011
726.5499,0.1359399,0.05725192,0.1027831,0.07482925
727.032,0.1338024,0.05765307,0.1020397,0.0731128
727.5142,0.1316838,0.05814604,0.101476,0.07142206
727.9963,0.1296519,0.05843394,0.1009158,0.0696962
728.4784,0.1277577,0.05826843,0.1001592,0.06787184
728.9605,0.126032,0.05750096,0.09902561,0.06590818
729.4426,0.1244854,0.05613973,0.09741367,0.06381333
729.9247,0.1231143,0.05434145,0.09534098,0.06164672
730.4069,0.1219111,0.05237938,0.09295025,0.0595092
730.889,0.1208719,0.05056746,0.09048609,0.0575121
