absorbance_2.3_1_oilA,2.3_1_oilA,2.3_2_oilA,2.3_3_oilA
701.4799,0.09511711,0.06574137,0.05196127
701.962,0.09578921,0.06628713,0.05263223
702.4441,0.09609677,0.06689879,0.05334882
702.9262,0.09607995,0.06764094,0.05405218
703.4083,0.09578726,0.06851918,0.05468463
703.8904,0.09528042,0.06948186,0.05520194
704.3726,0.09463365,0.07043324,0.0555936
704.8547,0.09393287,0.07126872,0.05588866
705.3368,0.09328508,0.07189709,0.05615588
705.8189,0.09280477,0.07228249,0.05648254
706.301,0.0925985,0.07245959,0.05694659
706.7831,0.09275923,0.07253987,0.05759943
707.2653,0.09333937,0.07267766,0.05844438
707.7474,0.09433924,0.07302014,0.05944194
708.2295,0.09569972,0.07366329,0.06052107
708.7116,0.09731078,0.07460348,0.0616072
709.1937,0.09902985,0.07574037,0.06263996
709.6758,0.1006986,0.07690161,0.06357685
710.158,0.1021884,0.07791969,0.06439567
710.6401,0.1034243,0.07869121,0.06508145
711.1222,0.1044024,0.07922389,0.06561871
711.6043,0.1051919,0.07963873,0.0659943
712.0864,0.1059131,0.08013195,0.06620684
712.5685,0.1067033,0.08091398,0.06628808
713.0507,0.1076632,0.08212575,0.06631157
713.5328,0.1088373,0.08381274,0.06640281
714.0149,0.110199,0.0859186,0.06672855
714.497,0.1116737,0.08832833,0.06745292
714.9791,0.113169,0.09090804,0.06871293
715.4612,0.1146188,0.09354586,0.0705699
715.9434,0.1160142,0.09616978,0.07298656
716.4255,0.1174057,0.09872078,0.07581902
716.9076,0.118883,0.1011266,0.07883474
717.3897,0.1205302,0.1032942,0.08177456
717.8718,0.1223903,0.1051097,0.08436765
718.3539,0.1244273,0.1064853,0.08640335
718.8361,0.1265256,0.1074101,0.08778036
719.3182,0.128495,0.1079763,0.08852527
719.8003,0.1301216,0.1083616,0.08879501
720.2824,0.1312316,0.1087478,0.0888152
720.7645,0.1317218,0.1092421,0.08882682
721.2466,0.1315944,0.1097959,0.08898468
721.7288,0.1309396,0.1102131,0.08930665
722.2109,0.1299111,0.1101996,0.08966579
722.693,0.1286706,0.1094896,0.08983573
723.1751,0.1273433,0.1079493,0.08957638
723.6572,0.1259995,0.1056266,0.08869384
724.1393,0.1246404,0.1027423,0.08712106
724.6215,0.1232207,0.09961277,0.08492488
725.1036,0.1216795,0.09657546,0.08229055
725.5857,0.1199834,0.09387773,0.07945716
726.0678,0.118148,0.09165132,0.07666412
726.5499,0.1162479,0.08991323,0.07411288
727.032,0.114389,0.08859576,0.07192242
727.5142,0.1126773,0.08759084,0.07014045
727.9963,0.1111818,0.08678035,0.06875597
728.4784,0.1099096,0.08606385,0.06772086
728.9605,0.1088087,0.08535576,0.06696446
729.4426,0.1077867,0.08458759,0.06640011
729.9247,0.1067525,0.08371653,0.06593822
730.4069,0.1056362,0.08272827,0.06548586
730.889,0.1044088,0.08164258,0.0649628
731.3711,0.1030792,0.08050233,0.06432254
731.8532,0.1016775,0.07935911,0.06355816
732.3353,0.1002394,0.07824774,0.06270234
732.8174,0.0987961,0.07717137,0.06180356
733.2996,0.09738249,0.07610516,0.06090546
733.7817,0.09604631,0.07501491,0.06001957
734.2638,0.09484768,0.07388384,0.05912268
734.7459,0.09385552,0.07273047,0.0581715
735.228,0.09311822,0.07160588,0.05713855
735.7101,0.09263633,0.07056716,0.05604143
736.1923,0.09234592,0.06964911,0.05495788
736.6744,0.09212613,0.06883453,0.05400604
737.1565,0.09183785,0.06805743,0.05329854
737.6386,0.09135602,0.06722304,0.05290488
738.1207,0.09062487,0.06625757,0.05280939
738.6028,0.08967625,0.06514736,0.05291567
739.085,0.08862772,0.06395987,0.05306799
739.5671,0.08764119,0.06282714,0.05311586
740.0492,0.08687492,0.0619036,0.05296207
740.5313,0.08644611,0.06132314,0.05258652
741.0134,0.08638936,0.061144,0.05204213
741.4955,0.0866552,0.06133503,0.05141245
741.9777,0.08711562,0.06178144,0.05076614
742.4598,0.08760165,0.06232734,0.05011692
742.9419,0.08792607,0.06280747,0.04942486
743.424,0.08790792,0.06307834,0.04862454
743.9061,0.08741421,0.06304681,0.04767561
744.3882,0.08636766,0.06266464,0.04659552
744.8704,0.08477156,0.06193148,0.04547133
745.3525,0.0827168,0.06089354,0.04442274
745.8346,0.08038522,0.05964614,0.04356129
746.3167,0.07803019,0.05832966,0.0429377
746.7988,0.07591198,0.05709632,0.04252177
747.2809,0.07427458,0.05609282,0.0422172
747.7631,0.07328182,0.05541392,0.0419073
748.2452,0.07298073,0.05507459,0.04151437
748.7273,0.07330185,0.05500588,0.04102722
749.2094,0.07407004,0.05507522,0.04050963
749.6915,0.07506332,0.05514174,0.04006217
750.1736,0.07604167,0.0550916,0.03978316
750.6558,0.07681347,0.05488535,0.03971513
751.1379,0.07727057,0.05455895,0.03982707
751.62,0.07738236,0.05419998,0.04002043
752.1021,0.0771893,0.05390182,0.04016676
752.5842,0.07677054,0.0537192,0.04015649
753.0663,0.07622404,0.05365403,0.03992363
753.5485,0.07563865,0.05365961,0.03947355
754.0306,0.07508282,0.05367677,0.03887311
754.5127,0.0746083,0.05366783,0.0382365
754.9948,0.07424683,0.05364683,0.03768712
755.4769,0.07401708,0.05367465,0.03733166
755.959,0.07392918,0.05383652,0.03724445
756.4412,0.07398329,0.05419228,0.03744638
756.9233,0.07416659,0.054743,0.0379043
757.4054,0.07444844,0.05540951,0.03853088
757.8875,0.07477909,0.05605289,0.03920815
758.3696,0.07509094,0.05650736,0.03980599
758.8517,0.07530285,0.0566268,0.04021018
759.3339,0.07534431,0.05633976,0.04035606
759.816,0.07516673,0.05566299,0.04023597
760.2981,0.07476512,0.05469335,0.03990053
760.7802,0.07418451,0.05360821,0.03943396
761.2623,0.07351958,0.05260053,0.03893338
761.7444,0.07289524,0.05183906,0.03847747
762.2266,0.07242516,0.05142521,0.03810567
762.7087,0.07219056,0.05139029,0.03782059
763.1908,0.0722087,0.05169111,0.03759904
763.6729,0.07242987,0.05223377,0.0374128
764.155,0.07274637,0.05288564,0.03724188
764.6371,0.07302383,0.05350383,0.03707922
765.1193,0.07314735,0.05396558,0.036925
765.6014,0.07303973,0.05417415,0.03677522
766.0835,0.07268773,0.05408217,0.03661527
766.5656,0.07213237,0.05369597,0.03642484
767.0477,0.07145226,0.05307138,0.0361904
767.5298,0.0707301,0.05230008,0.03592237
768.012,0.07002901,0.0514847,0.03566099
768.4941,0.06938697,0.05072708,0.03547341
768.9762,0.06881687,0.05009988,0.03542747
769.4583,0.06832113,0.04963617,0.03556316
769.9404,0.06790887,0.04933065,0.03587135
770.4225,0.06760194,0.0491474,0.03628705
770.9047,0.06743294,0.04903792,0.03670648
