absorbance_2.7_1A,2.7_1A,2.7_2A,2.7_3A,2.7_4A
721.2466,0.07666739,0.08538546,0.1487064,0.1032945
721.7288,0.07637409,0.08477046,0.1487318,0.1033854
722.2109,0.07550231,0.08379922,0.1487347,0.1033103
722.693,0.07415631,0.08260895,0.1486606,0.103031
723.1751,0.07249189,0.08129613,0.1484233,0.1025091
723.6572,0.07070278,0.07992579,0.1479338,0.1017215
724.1393,0.06897062,0.07853289,0.1471356,0.1006705
724.6215,0.06743377,0.07713734,0.1460138,0.09937597
725.1036,0.06617288,0.07575331,0.1445906,0.09786843
725.5857,0.06519434,0.07439066,0.1429111,0.09617741
726.0678,0.06444598,0.0730568,0.1410341,0.09433579
726.5499,0.06383222,0.07175624,0.1390285,0.09238979
727.032,0.06324492,0.07048924,0.1369668,0.09040205
727.5142,0.06257503,0.06925125,0.1349261,0.08845431
727.9963,0.06172161,0.06802975,0.1329828,0.08663496
728.4784,0.06061017,0.0668035,0.1311899,0.08500625
728.9605,0.05919558,0.06553954,0.1295698,0.08358669
729.4426,0.05747976,0.06419592,0.1281025,0.08233495
729.9247,0.05551932,0.06273358,0.1267334,0.08116508
730.4069,0.05343231,0.06112706,0.1253886,0.07997233
730.889,0.05137914,0.05938198,0.1240004,0.07868102
731.3711,0.04951304,0.05754174,0.1225359,0.07728381
731.8532,0.04795252,0.05568911,0.1210032,0.07585184
732.3353,0.04673896,0.05393283,0.1194526,0.07451561
732.8174,0.04583291,0.05237539,0.1179543,0.07340709
733.2996,0.04513136,0.05110061,0.1165871,0.07262079
733.7817,0.04451029,0.05014839,0.1154165,0.07216664
734.2638,0.04387609,0.04951074,0.1144836,0.07197012
734.7459,0.04318222,0.04913829,0.1138064,0.07189065
735.228,0.04243749,0.04895715,0.1133755,0.07177356
735.7101,0.04167536,0.04889026,0.1131562,0.07150166
736.1923,0.04092474,0.04886079,0.1130845,0.07101017
736.6744,0.04018121,0.04880315,0.1130722,0.07029738
737.1565,0.0394068,0.04866211,0.1130224,0.0694037
737.6386,0.03854697,0.0483849,0.1128394,0.06839243
738.1207,0.03756566,0.04793053,0.1124601,0.06733056
738.6028,0.03646919,0.04727603,0.1118692,0.06628156
739.085,0.03531361,0.04642619,0.1111043,0.06531385
739.5671,0.03418476,0.04542083,0.1102392,0.06449413
740.0492,0.03316529,0.04433104,0.1093564,0.06388002
740.5313,0.03230714,0.04325265,0.1085238,0.06350593
741.0134,0.03161049,0.04227798,0.1077698,0.06336252
741.4955,0.03103412,0.04147901,0.1070896,0.0633902
741.9777,0.0305183,0.04089401,0.1064638,0.06348602
742.4598,0.03001935,0.04052096,0.1058845,0.06354256
742.9419,0.02952494,0.04032646,0.1053705,0.06347516
743.424,0.0290516,0.04025657,0.1049663,0.06324814
743.9061,0.02862137,0.04025333,0.1047144,0.06287818
744.3882,0.02823567,0.04025419,0.1046284,0.06240973
744.8704,0.02785634,0.04019098,0.1046685,0.06188069
745.3525,0.02741647,0.0399965,0.1047495,0.06129327
745.8346,0.02684078,0.03960445,0.1047616,0.06061053
746.3167,0.02608559,0.03896734,0.1046169,0.05978191
746.7988,0.02516738,0.03807794,0.1042895,0.05878881
747.2809,0.02416975,0.03698168,0.1038238,0.05768082
747.7631,0.02322648,0.03578066,0.1033183,0.05658966
748.2452,0.02247311,0.03460552,0.1028758,0.05568709
748.7273,0.02202232,0.03359818,0.1025694,0.05514463
749.2094,0.02192529,0.03286583,0.1024109,0.05505298
749.6915,0.02216586,0.03244978,0.1023574,0.05537952
750.1736,0.02267266,0.03232219,0.1023387,0.05596229
750.6558,0.02334504,0.03239747,0.1023004,0.0565597
751.1379,0.02408413,0.03257254,0.1022312,0.05694218
751.62,0.02479723,0.03275175,0.1021643,0.05694595
752.1021,0.02541111,0.0328793,0.1021521,0.05653667
752.5842,0.02586913,0.03294385,0.1022279,0.05579971
753.0663,0.02612455,0.03296423,0.1023784,0.05490438
753.5485,0.02614978,0.03296939,0.1025355,0.05402935
754.0306,0.02594314,0.03297976,0.1026022,0.05330193
754.5127,0.02553792,0.03299899,0.1024852,0.05277634
754.9948,0.0250016,0.03301828,0.1021421,0.05243165
755.4769,0.02442446,0.033028,0.1015955,0.05221093
