absorbance_2.6_1A,2.6_1A,2.6_2A,2.6_3A,2.6_4A
663.8748,0.03979223,0.07212838,0.05687249,0.06668591
664.3569,0.0387645,0.07182975,0.05819428,0.06770742
664.839,0.03770836,0.07154354,0.05937573,0.06831406
665.3211,0.03673166,0.07147032,0.06042551,0.0684872
665.8032,0.03597782,0.07169855,0.06139604,0.06835172
666.2853,0.03564923,0.07217881,0.06234508,0.06817237
666.7675,0.03599299,0.07273176,0.06329602,0.06830274
667.2496,0.03723149,0.07311538,0.06421736,0.06912991
667.7317,0.03934754,0.07316709,0.0650377,0.07085213
668.2138,0.04191304,0.07296559,0.06571456,0.0732243
668.6959,0.04421951,0.07279356,0.06631893,0.07559104
669.178,0.04576947,0.07285734,0.06700248,0.07734719
669.6602,0.04652999,0.07315176,0.06786563,0.07831836
670.1423,0.04675407,0.07359676,0.06891128,0.07868055
670.6244,0.04674282,0.07411906,0.07003721,0.07874802
671.1065,0.04670865,0.07463836,0.07108536,0.07880368
671.5886,0.04676928,0.07501689,0.07185505,0.0790697
672.0707,0.04694141,0.0750805,0.07215711,0.07966768
672.5529,0.04716574,0.07467522,0.07187773,0.08060411
673.035,0.04733026,0.07371825,0.07101268,0.08176494
673.5171,0.04732169,0.0722644,0.06970531,0.08293944
673.9992,0.04707751,0.07050669,0.06819858,0.08389288
674.4813,0.0466098,0.06876836,0.06679228,0.08441109
674.9634,0.04601269,0.06741653,0.06574175,0.08437716
675.4456,0.04542677,0.06676991,0.06519769,0.08378991
675.9277,0.04501244,0.06704716,0.06520013,0.08275813
676.4098,0.04489044,0.06827474,0.0656774,0.08146664
676.8919,0.04511211,0.07027873,0.06648828,0.08012129
677.374,0.04565167,0.07270002,0.06745174,0.07891566
677.8561,0.04642039,0.07511345,0.06840221,0.07797088
678.3383,0.04730546,0.07714369,0.06921226,0.07732631
678.8204,0.04819826,0.07854402,0.06979671,0.07694831
679.3025,0.0490326,0.07927255,0.07012213,0.07676052
679.7846,0.04978989,0.07947084,0.0701959,0.07667824
680.2667,0.05049258,0.07941146,0.07005952,0.07663842
680.7488,0.05117914,0.07937462,0.06977049,0.07662599
681.231,0.05187748,0.07956466,0.06938685,0.07667521
681.7131,0.05257884,0.08004004,0.06895077,0.0768625
682.1952,0.05323073,0.08070825,0.06847747,0.07727458
682.6773,0.05374406,0.08137514,0.06796099,0.07798153
683.1594,0.05401706,0.08182718,0.06739251,0.07900071
683.6415,0.05397883,0.08193242,0.06678484,0.080275
684.1237,0.0536137,0.0816862,0.06619313,0.08166347
684.6058,0.05298177,0.08122668,0.06572274,0.08296047
685.0879,0.05219843,0.0807679,0.06550261,0.0839567
685.57,0.05141613,0.08053811,0.06566566,0.08446886
686.0521,0.05078311,0.08068437,0.06630433,0.08439647
686.5342,0.05040907,0.08121721,0.06743988,0.08374728
687.0164,0.05036901,0.08200216,0.06901045,0.08264066
687.4985,0.05069849,0.08279123,0.07087593,0.08128783
687.9806,0.05140286,0.08331396,0.07285842,0.07992749
688.4627,0.05246378,0.08334157,0.07476625,0.07879107
688.9448,0.05383797,0.08278593,0.07644901,0.07802752
689.4269,0.05545157,0.08172181,0.07782469,0.07767789
689.9091,0.0571854,0.0803653,0.07886579,0.07768925
690.3912,0.05887801,0.07899433,0.07957958,0.07795271
690.8733,0.06034762,0.07785588,0.07997759,0.07835646
691.3554,0.06140577,0.0771274,0.08006012,0.0788134
691.8375,0.06191985,0.07686652,0.07982293,0.07928655
692.3196,0.06184941,0.07702708,0.0792799,0.07978134
692.8018,0.061264,0.07749222,0.07849059,0.08032551
693.2839,0.06032587,0.07813098,0.07756622,0.08094101
693.766,0.05924038,0.07884213,0.07665656,0.08162753
694.2481,0.0582132,0.07957131,0.07592519,0.08235385
694.7302,0.05738468,0.08031136,0.07549065,0.08306971
