absorbance_2.9_1A,2.9_1A,2.9_2,2.9_3A,2.9_4A
681.231,0.03702866,0.05879397,0.05824018,0.02593662
681.7131,0.03707281,0.06021733,0.05914796,0.02656045
682.1952,0.03687121,0.06178119,0.06009818,0.02738506
682.6773,0.03655188,0.06331626,0.06095942,0.02832275
683.1594,0.03622451,0.06467012,0.06162731,0.0292133
683.6415,0.03594181,0.06574689,0.06205614,0.02988721
684.1237,0.03570635,0.06650598,0.06226564,0.03020793
684.6058,0.03548922,0.06695665,0.0623398,0.03012279
685.0879,0.03526643,0.06713125,0.0623962,0.02967384
685.57,0.03504201,0.06706224,0.06256617,0.02898002
686.0521,0.0348559,0.06677213,0.06296372,0.02819649
686.5342,0.03476315,0.06628305,0.06366164,0.02746222
687.0164,0.03481383,0.06564969,0.06469489,0.02688534
687.4985,0.03502559,0.06498624,0.06605296,0.0265188
687.9806,0.0353768,0.06446108,0.06768588,0.02635805
688.4627,0.03581703,0.06428511,0.06950127,0.02635054
688.9448,0.03629651,0.06463821,0.07137462,0.02641403
689.4269,0.03679476,0.06559781,0.07316733,0.02647067
689.9091,0.03732914,0.06710371,0.07472417,0.02646746
690.3912,0.03794462,0.06894784,0.07590481,0.02640608
690.8733,0.03867792,0.07083343,0.07660724,0.02634573
691.3554,0.03952411,0.07241668,0.07678282,0.02640071
691.8375,0.04041214,0.07341871,0.0764672,0.02670167
692.3196,0.04121469,0.07369012,0.07578078,0.02735172
692.8018,0.04176967,0.07323641,0.07492538,0.0283871
693.2839,0.04194726,0.07221614,0.07412683,0.02974509
693.766,0.04169446,0.07088682,0.07358143,0.03127159
694.2481,0.04106433,0.06955679,0.0734137,0.03274535
694.7302,0.04020977,0.06848996,0.07363184,0.03395514
695.2123,0.03934519,0.06786341,0.07413345,0.0347528
695.6945,0.03869618,0.06773544,0.07472754,0.03509279
696.1766,0.03841325,0.06803404,0.07520606,0.03504363
696.6587,0.03853779,0.06858215,0.07539274,0.03475522
697.1408,0.03898716,0.06913726,0.07519256,0.03440968
697.6229,0.03959915,0.06947523,0.07461786,0.03414974
698.105,0.04018264,0.0694321,0.07377316,0.03405548
698.5872,0.04058731,0.06895603,0.07282245,0.03413571
699.0693,0.04075791,0.06812425,0.07192617,0.03435285
699.5514,0.0407405,0.06712891,0.07121333,0.03465965
700.0335,0.04066331,0.06623109,0.07075074,0.03503235
700.5156,0.04067468,0.06566781,0.07054175,0.03548241
700.9977,0.04090067,0.06560723,0.07055112,0.03604724
701.4799,0.0413969,0.0660847,0.07073405,0.03676619
701.962,0.04213716,0.06700129,0.07106374,0.0376544
702.4441,0.04302835,0.0681442,0.07153872,0.03869011
702.9262,0.0439476,0.069254,0.0721757,0.03981347
703.4083,0.04479108,0.07011754,0.07298875,0.04094673
703.8904,0.04549544,0.07061181,0.07396801,0.04200718
704.3726,0.04605643,0.07075404,0.07506651,0.04293279
704.8547,0.04651376,0.0706756,0.07620931,0.04369222
705.3368,0.04692897,0.07057977,0.07730384,0.04428187
705.8189,0.04735769,0.07065709,0.07827169,0.0447209
706.301,0.04783504,0.07102022,0.07907137,0.04504199
706.7831,0.04838036,0.07168246,0.07970643,0.04528888
707.2653,0.04900468,0.0725574,0.08022489,0.04550835
707.7474,0.04972213,0.07350789,0.08069895,0.04574408
708.2295,0.05055213,0.07439044,0.08120822,0.04603316
708.7116,0.0515097,0.07512067,0.0818104,0.04639691
709.1937,0.05258944,0.07569571,0.08252913,0.04684099
709.6758,0.05375034,0.07619795,0.08335163,0.04736249
710.158,0.05491788,0.07676063,0.08423511,0.04796273
710.6401,0.05599742,0.07752828,0.08511936,0.04865978
711.1222,0.05690048,0.07861749,0.08594019,0.04949616
711.6043,0.05758493,0.08007447,0.08665263,0.05052669
712.0864,0.05807542,0.08186909,0.08724272,0.05180057
712.5685,0.05847061,0.08389777,0.08773975,0.05333599
713.0507,0.05891116,0.08601987,0.08821505,0.0551004
713.5328,0.05955082,0.08808124,0.08877993,0.05700561
714.0149,0.06050902,0.08994583,0.08956918,0.05891983
714.497,0.06182834,0.09153222,0.09070197,0.06071148
714.9791,0.06346656,0.09281707,0.09226261,0.06227334
715.4612,0.06530192,0.09384123,0.09426393,0.06355644
715.9434,0.06718236,0.09468859,0.09663936,0.06457587
716.4255,0.06895567,0.09547076,0.09923915,0.06539712
