absorbance_5.1_1A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
698.105,0.1412927,0.1002739,0.0441031,0.06534748,0.1216253
698.5872,0.1420225,0.1011355,0.04571501,0.06589628,0.1213973
699.0693,0.1425046,0.1019391,0.04701835,0.06633452,0.1212201
699.5514,0.1427459,0.1026294,0.04786707,0.06664553,0.1211295
700.0335,0.1428206,0.1032052,0.04824909,0.06685404,0.1211709
700.5156,0.1428515,0.1037089,0.04827387,0.06701192,0.1213695
700.9977,0.1429955,0.1042064,0.04813404,0.06717581,0.1217169
701.4799,0.1433998,0.1047585,0.04803582,0.06737718,0.1221686
701.962,0.1441542,0.1053966,0.04812336,0.067607,0.1226665
702.4441,0.1452681,0.1061163,0.04845432,0.06781882,0.1231608
702.9262,0.1466544,0.1068785,0.04898553,0.06794831,0.1236354
703.4083,0.1481624,0.107625,0.04961482,0.06794646,0.1241157
703.8904,0.1496084,0.1082918,0.05022605,0.06779937,0.1246571
704.3726,0.1508471,0.1088298,0.05075356,0.06754352,0.125319
704.8547,0.1518174,0.1092154,0.05120804,0.06725557,0.1261331
705.3368,0.1525485,0.1094492,0.05166816,0.06704563,0.1270891
705.8189,0.1531392,0.1095529,0.05223434,0.06703083,0.1281329
706.301,0.1537023,0.1095595,0.05297085,0.06731471,0.1291888
706.7831,0.1543258,0.1095117,0.05387095,0.06798142,0.1301786
707.2653,0.1550357,0.1094556,0.0548468,0.0690679,0.1310539
707.7474,0.1558034,0.1094376,0.05576888,0.0705502,0.1318084
708.2295,0.1565718,0.1095098,0.05650875,0.07232669,0.1324784
708.7116,0.157293,0.1097195,0.05700373,0.07422675,0.1331285
709.1937,0.157951,0.1101099,0.05728,0.07603659,0.1338317
709.6758,0.1585584,0.1107181,0.05744909,0.07752812,0.134654
710.158,0.1591375,0.1115698,0.05766474,0.07853669,0.1356359
710.6401,0.1596955,0.1126791,0.05807648,0.07900222,0.1367847
711.1222,0.1602097,0.1140485,0.05878974,0.07900459,0.1380721
711.6043,0.1606431,0.1156672,0.05983539,0.07874541,0.1394421
712.0864,0.1609752,0.1175093,0.06117952,0.07850836,0.1408203
712.5685,0.1612405,0.1195269,0.06274498,0.07859273,0.1421303
713.0507,0.1615424,0.1216525,0.06445093,0.07921799,0.1433192
713.5328,0.1620462,0.1237913,0.06622904,0.08049853,0.1443711
714.0149,0.1629319,0.1258281,0.06803226,0.08242227,0.145319
714.497,0.164318,0.1276548,0.06983355,0.08487509,0.1462382
714.9791,0.1662183,0.1291871,0.07161313,0.08766602,0.147233
715.4612,0.1685123,0.1303987,0.07335521,0.09056402,0.1484071
715.9434,0.1709919,0.1313346,0.07504967,0.0933484,0.149825
