absorbance_6.10_1 (1),6.10_1 (1),6.10_2,6.10_3,6.10_4
677.374,0.07487136,0.03834434,0.01409919,0.07080083
677.8561,0.07681333,0.03914146,0.01408624,0.07205684
678.3383,0.07904503,0.03966045,0.0147082,0.07302268
678.8204,0.08139619,0.03991587,0.01586854,0.0737104
679.3025,0.08367723,0.03995966,0.01740864,0.07416622
679.7846,0.08568411,0.03986258,0.01914311,0.07443596
680.2667,0.08721072,0.03969425,0.02088617,0.07454978
680.7488,0.08810566,0.0395008,0.02249531,0.07452473
681.231,0.08831009,0.0393052,0.0238797,0.07438441
681.7131,0.08790277,0.0391144,0.02500824,0.07417641
682.1952,0.08709391,0.03892988,0.02590361,0.07396842
682.6773,0.08620533,0.0387591,0.02661967,0.07384042
683.1594,0.08560073,0.03861294,0.02721671,0.07386321
683.6415,0.08556423,0.03849526,0.02773032,0.07407308
684.1237,0.08624204,0.03839184,0.02816311,0.07446904
684.6058,0.0875786,0.03826609,0.02848364,0.07501537
685.0879,0.08935246,0.03807533,0.0286507,0.07566246
685.57,0.09123144,0.03779107,0.02864034,0.07635904
686.0521,0.09288198,0.03742614,0.02847614,0.07706074
686.5342,0.09407051,0.03703877,0.02823523,0.0777257
687.0164,0.09468094,0.03672504,0.02804474,0.07829729
687.4985,0.09473156,0.03657873,0.02804036,0.07869838
687.9806,0.09433199,0.03664124,0.02830748,0.07884561
688.4627,0.0936449,0.03687175,0.02884698,0.07866627
688.9448,0.09283228,0.03714443,0.02955314,0.07813852
689.4269,0.09202164,0.03730069,0.0302585,0.07730838
689.9091,0.09131458,0.0372015,0.03078049,0.07629694
690.3912,0.09078643,0.03680293,0.03100815,0.0752731
690.8733,0.09049204,0.03617834,0.0309403,0.07440907
691.3554,0.09046932,0.03551297,0.03069401,0.07385915
691.8375,0.0907197,0.03504091,0.03046088,0.07371296
692.3196,0.09119907,0.03496706,0.03043527,0.07398264
692.8018,0.09181792,0.03541947,0.03075791,0.07460479
693.2839,0.09246932,0.0364029,0.03145292,0.0754609
693.766,0.09306414,0.03781935,0.03243127,0.07640598
694.2481,0.09355783,0.03950583,0.0335173,0.07728735
694.7302,0.09396702,0.04130364,0.03452546,0.0779843
695.2123,0.09435347,0.04309072,0.0353155,0.07842191
695.6945,0.09479323,0.04479136,0.03583118,0.07858615
696.1766,0.09533301,0.04636689,0.03611055,0.07853143
696.6587,0.0959679,0.0477787,0.03625559,0.07837257
697.1408,0.09663583,0.04896201,0.03639185,0.07826853
697.6229,0.09724593,0.04982925,0.03661589,0.07837184
698.105,0.0977064,0.05028743,0.03697844,0.07880154
698.5872,0.09795754,0.05028257,0.03747786,0.07960547
699.0693,0.0979907,0.04984221,0.03807452,0.08074485
699.5514,0.09784146,0.04909147,0.0387077,0.08210135
700.0335,0.09757276,0.04824039,0.03931008,0.0835072
700.5156,0.09724572,0.04751049,0.03982507,0.08480547
700.9977,0.09691109,0.04709308,0.04020495,0.08587484
701.4799,0.09660546,0.04708416,0.04042096,0.08666347
701.962,0.09635993,0.04746731,0.04047107,0.08718885
702.4441,0.09621946,0.04812867,0.04038614,0.08751723
702.9262,0.09624939,0.04890271,0.04023243,0.087736
703.4083,0.09652717,0.04963867,0.04009151,0.08792167
703.8904,0.09713344,0.05022933,0.04004677,0.08813108
704.3726,0.09812187,0.05064545,0.04014667,0.08839188
704.8547,0.09949724,0.05091935,0.04039044,0.08871146
705.3368,0.1012019,0.05111684,0.04073015,0.08908666
705.8189,0.1031138,0.05129877,0.0410987,0.08951168
706.301,0.1050665,0.05150145,0.04144854,0.0899799
706.7831,0.1068551,0.0517446,0.04177954,0.09048015
707.2653,0.1082887,0.05205031,0.0421506,0.0909944
707.7474,0.1092317,0.05246462,0.04265809,0.09150171
708.2295,0.1096345,0.05306857,0.04340374,0.0919819
708.7116,0.109566,0.0539551,0.04444306,0.09242824
709.1937,0.1092058,0.05519239,0.04576216,0.09285434
709.6758,0.1088271,0.0567851,0.04727487,0.0932968
710.158,0.1087128,0.05864835,0.0488576,0.09380548
710.6401,0.109095,0.06061511,0.05039031,0.09443321
711.1222,0.1100925,0.06246375,0.05179316,0.09522218
711.6043,0.1116677,0.06399994,0.05305393,0.09618851
712.0864,0.1136456,0.0651048,0.05421555,0.09732099
712.5685,0.1157619,0.06577387,0.05534866,0.09858328
713.0507,0.1177725,0.06610554,0.05650914,0.09992778
713.5328,0.1195144,0.06625992,0.05771741,0.1013075
714.0149,0.1209608,0.06639684,0.05895279,0.1026856
714.497,0.1222139,0.0666142,0.06017596,0.1040446
714.9791,0.1234572,0.06693877,0.06135712,0.1053851
715.4612,0.1248731,0.06733913,0.06250209,0.106722
715.9434,0.1265549,0.06777119,0.06365353,0.1080749
716.4255,0.1284775,0.06821778,0.06487761,0.1094614
716.9076,0.1304964,0.0687139,0.06622806,0.1108854
717.3897,0.1324161,0.06933427,0.06771404,0.1123334
717.8718,0.1340424,0.0701652,0.06928289,0.1137712
718.3539,0.1352627,0.07125793,0.07082224,0.1151473
718.8361,0.1360854,0.07259769,0.0721993,0.116404
719.3182,0.1366271,0.07410204,0.07328066,0.1174821
719.8003,0.137062,0.07564832,0.0739796,0.118333
720.2824,0.1375349,0.07712316,0.07427312,0.1189258
720.7645,0.1381009,0.07844757,0.07418992,0.1192467
721.2466,0.1386887,0.07958611,0.07379516,0.1193009
721.7288,0.1391377,0.08051892,0.07316037,0.1191089
722.2109,0.1392566,0.08119629,0.07235898,0.1187094
722.693,0.1389102,0.08152377,0.07144044,0.1181533
723.1751,0.138065,0.08137961,0.07042566,0.1174955
723.6572,0.1367987,0.08064712,0.0693088,0.1167871
724.1393,0.1352628,0.07928166,0.06806432,0.1160576
724.6215,0.1336267,0.07734089,0.06666406,0.1153076
725.1036,0.1320336,0.07499305,0.06509464,0.1145106
725.5857,0.1305537,0.07246489,0.06337683,0.1136258
726.0678,0.129184,0.06998355,0.06157224,0.1126161
726.5499,0.1278623,0.06771783,0.05978274,0.1114628
727.032,0.1265072,0.06572343,0.05812107,0.1101733
727.5142,0.1250472,0.0639523,0.05668879,0.1087721
727.9963,0.123448,0.06228428,0.05554802,0.1072869
728.4784,0.121721,0.06059592,0.05470077,0.1057281
728.9605,0.1199174,0.05880313,0.05409122,0.1040848
729.4426,0.1181137,0.05689264,0.05362043,0.1023317
729.9247,0.1163838,0.05491484,0.05318267,0.1004519
730.4069,0.1147875,0.05295643,0.05268569,0.09846057
730.889,0.1133541,0.05110428,0.05207544,0.09642323
