absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5
1408.745,0.08707581,0.08975089,0.07135341,0.07974456,0.09243217
1409.227,0.08762012,0.08989462,0.0718089,0.08013507,0.09267805
1409.709,0.08822817,0.09010939,0.07237203,0.08067837,0.09295573
1410.191,0.08890489,0.09042247,0.07301255,0.08137354,0.0932858
1410.674,0.08964897,0.09085789,0.07368979,0.08219026,0.09368902
1411.156,0.09044869,0.09142111,0.07436381,0.08307227,0.09417716
1411.638,0.09128407,0.09209461,0.07500629,0.08395476,0.09474674
1412.12,0.09213036,0.09283975,0.07560372,0.08477743,0.0953806
1412.602,0.09296357,0.0936079,0.07615599,0.08550024,0.09605351
1413.084,0.09376345,0.09435454,0.07666942,0.08610772,0.09674012
1413.566,0.09451023,0.09504324,0.07715049,0.08660156,0.09741797
1414.048,0.09518462,0.0956519,0.07760113,0.08699467,0.09807007
1414.531,0.09576826,0.0961729,0.0780201,0.08730248,0.09868716
1415.013,0.09624103,0.09660714,0.07840336,0.08753894,0.09926286
1415.495,0.09658377,0.09696057,0.07874706,0.08771241,0.09979393
1415.977,0.09677863,0.09723716,0.07904874,0.08782428,0.1002766
1416.459,0.09680726,0.09743224,0.07930201,0.08786868,0.100698
1416.941,0.09665134,0.09752816,0.07949105,0.08783127,0.1010299
1417.423,0.09629878,0.09749544,0.07958418,0.08769356,0.1012225
1417.905,0.09576422,0.09730545,0.07953443,0.08744185,0.1012091
1418.387,0.0951134,0.09695944,0.07930569,0.08708857,0.1009449
1418.87,0.09446865,0.09651302,0.07891286,0.08668984,0.1004604
1419.352,0.09396517,0.09606235,0.07843548,0.08633173,0.09987941
1419.834,0.09367443,0.09568568,0.07797328,0.08607775,0.09934831
1420.316,0.09358213,0.09540205,0.07759205,0.08593453,0.09895971
1420.798,0.09361931,0.09518084,0.07730658,0.08585982,0.09873347
1421.28,0.09370753,0.09497295,0.07709508,0.08579449,0.09863961
1421.762,0.0937793,0.09473519,0.07692312,0.08568761,0.09863092
1422.244,0.09378134,0.09444186,0.07675937,0.08550884,0.09865569
1422.726,0.09367948,0.09409206,0.07658521,0.08525378,0.09866489
1423.208,0.09345947,0.09371562,0.07639915,0.08494513,0.098613
1423.691,0.09313875,0.09337427,0.07621735,0.08463015,0.09847021
1424.173,0.09276801,0.09313853,0.07606394,0.08436257,0.09823853
1424.655,0.09241781,0.09306157,0.07595972,0.08418138,0.09795353
1425.137,0.09215026,0.0931544,0.07591155,0.08409343,0.09767155
1425.619,0.09199543,0.09339003,0.07591425,0.08407695,0.09744047
1426.101,0.09195722,0.09372498,0.07596014,0.08410066,0.09729372
1426.583,0.09202532,0.0941189,0.07604849,0.08414335,0.09724772
1427.065,0.09218952,0.09454613,0.07618984,0.08420557,0.09730749
1427.548,0.0924469,0.09499102,0.0764053,0.08431412,0.09747288
1428.03,0.09280131,0.09544438,0.07671954,0.08451574,0.09773722
1428.512,0.09325939,0.09590025,0.07715039,0.08486202,0.09808891
1428.994,0.09382095,0.09635028,0.07769899,0.08539103,0.09850824
1429.476,0.09447499,0.09678984,0.07834546,0.08610772,0.09897777
1429.958,0.09519955,0.09722359,0.07905671,0.08698134,0.0994906
1430.44,0.09596389,0.09766942,0.07979745,0.08795485,0.1000524
1430.922,0.09673358,0.09815149,0.08054154,0.08896551,0.1006736
1431.405,0.09747422,0.09868683,0.08127151,0.08995984,0.1013541
1431.887,0.09815472,0.09927914,0.08197202,0.09089533,0.1020764
1432.369,0.09875429,0.09991485,0.08262567,0.09174284,0.1028065
1432.851,0.09926844,0.1005716,0.08321444,0.0924851,0.1035074
1433.333,0.09971352,0.101226,0.0837229,0.09311463,0.1041483
1433.815,0.1001291,0.1018666,0.08414983,0.09363671,0.1047209
1434.297,0.100578,0.1025021,0.08451632,0.09406996,0.1052455
1434.779,0.1011452,0.1031672,0.08487266,0.094448,0.1057744
1435.261,0.1019164,0.1039205,0.08529349,0.09481655,0.106382
1435.744,0.1029343,0.1048219,0.08585545,0.09522218,0.1071372
1436.226,0.1041367,0.1058807,0.0865896,0.09569271,0.1080487
1436.708,0.1053501,0.1070097,0.08743323,0.09622041,0.1090271
1437.19,0.1063845,0.1080603,0.08825517,0.09677702,0.1099292
1437.672,0.1071515,0.1089146,0.08894026,0.09734131,0.110652
1438.154,0.1076789,0.1095407,0.08945154,0.09790571,0.1111791
1438.636,0.1080461,0.1099711,0.08981799,0.09847304,0.111553
1439.118,0.1083271,0.1102634,0.09010238,0.09904972,0.1118348
1439.601,0.1085672,0.1104722,0.09037139,0.09963878,0.1120749
