absorbance_2.4_1A,2.4_1A,2.4_2A,2.4_3A
810.4382,0.05135957,0.03726462,0.05660011
810.9203,0.05094027,0.03707699,0.05620002
811.4025,0.050288,0.0369742,0.05578488
811.8846,0.04952582,0.03702576,0.05541967
812.3667,0.04878126,0.03728212,0.05517314
812.8488,0.04814875,0.03776058,0.05509905
813.3309,0.04768545,0.0384424,0.05522408
813.813,0.04740685,0.03927258,0.05553112
814.2952,0.04730488,0.04017197,0.05595953
814.7773,0.04736611,0.04104054,0.05640866
815.2594,0.04758191,0.04177971,0.05676542
815.7415,0.04794719,0.04230824,0.05693421
816.2236,0.04844977,0.04257185,0.0568573
816.7057,0.04906203,0.04255928,0.05653897
